customer_id,age,income,tenure_months,policy_type,monthly_premium,claim_count,customer_service_calls,late_payments,satisfaction_score,discount_received,churned,annual_revenue,value_segment,risk_segment,predicted_churn_probability,churn_risk_group
1,56,78606.74,67,Renters,139.19,0,3,0,5,0,0,1670.28,Medium Value,Medium Satisfaction,0.040024757292589044,Low Risk
2,69,60435.49,112,Auto,176.29,1,3,0,3,1,0,2115.48,High Value,Low Satisfaction,0.04170392915054077,Low Risk
3,46,78829.76,65,Home,174.44,1,6,2,9,0,0,2093.2799999999997,High Value,High Satisfaction,0.07492580070271176,Low Risk
4,32,37073.31,27,Auto,159.04,1,0,1,2,0,0,1908.48,High Value,Low Satisfaction,0.29182842775215434,Low Risk
5,60,49695.23,48,Auto,149.08,0,2,0,5,0,0,1788.96,Medium Value,Medium Satisfaction,0.12180003056031373,Low Risk
6,25,41147.79,88,Auto,145.73,0,0,1,5,0,0,1748.7599999999998,Medium Value,Medium Satisfaction,0.0765613364959683,Low Risk
7,38,75330.58,62,Auto,132.17,0,1,0,5,0,0,1586.04,Medium Value,Medium Satisfaction,0.03471853198020007,Low Risk
8,56,80710.28,44,Auto,156.73,2,3,0,1,1,0,1880.7599999999998,High Value,Low Satisfaction,0.17789933662277854,Low Risk
9,36,61615.83,19,Life,144.28,0,1,0,10,0,0,1731.3600000000001,Medium Value,High Satisfaction,0.07448161407241521,Low Risk
10,40,45795.55,59,Life,113.08,0,1,0,7,1,0,1356.96,Low Value,Medium Satisfaction,0.021187165179020088,Low Risk
11,28,64565.52,8,Auto,162.44,1,0,1,2,1,1,1949.28,High Value,Low Satisfaction,0.5946602003946905,Medium Risk
12,28,54295.24,55,Renters,147.62,0,1,1,2,0,0,1771.44,Medium Value,Low Satisfaction,0.11972373077478196,Low Risk
13,41,47484.24,108,Auto,189.44,0,0,0,9,0,0,2273.2799999999997,High Value,High Satisfaction,0.02351269440891586,Low Risk
14,70,72457.86,47,Auto,53.53,0,1,0,1,0,0,642.36,Low Value,Low Satisfaction,0.0948084395428462,Low Risk
15,53,48324.17,2,Auto,136.63,0,1,0,9,0,0,1639.56,Medium Value,High Satisfaction,0.1710984500070511,Low Risk
16,57,30540.31,94,Life,102.38,0,3,0,6,1,0,1228.56,Low Value,Medium Satisfaction,0.021697201707418116,Low Risk
17,41,35429.48,94,Life,111.71,1,2,2,5,0,0,1340.52,Low Value,Medium Satisfaction,0.02157224904929939,Low Risk
