customer_id,age,income,tenure_months,policy_type,monthly_premium,claim_count,customer_service_calls,late_payments,satisfaction_score,discount_received,churned,annual_revenue
1,56,78606.74,67,Renters,139.19,0,3,0,5,0,0,1670.28
2,69,60435.49,112,Auto,176.29,1,3,0,3,1,0,2115.48
3,46,78829.76,65,Home,174.44,1,6,2,9,0,0,2093.2799999999997
4,32,37073.31,27,Auto,159.04,1,0,1,2,0,0,1908.48
5,60,49695.23,48,Auto,149.08,0,2,0,5,0,0,1788.96
6,25,41147.79,88,Auto,145.73,0,0,1,5,0,0,1748.7599999999998
7,38,75330.58,62,Auto,132.17,0,1,0,5,0,0,1586.04
8,56,80710.28,44,Auto,156.73,2,3,0,1,1,0,1880.7599999999998
9,36,61615.83,19,Life,144.28,0,1,0,10,0,0,1731.3600000000001
10,40,45795.55,59,Life,113.08,0,1,0,7,1,0,1356.96
11,28,64565.52,8,Auto,162.44,1,0,1,2,1,1,1949.28
12,28,54295.24,55,Renters,147.62,0,1,1,2,0,0,1771.44
13,41,47484.24,108,Auto,189.44,0,0,0,9,0,0,2273.2799999999997
14,70,72457.86,47,Auto,53.53,0,1,0,1,0,0,642.36
15,53,48324.17,2,Auto,136.63,0,1,0,9,0,0,1639.56
16,57,30540.31,94,Life,102.38,0,3,0,6,1,0,1228.56
17,41,35429.48,94,Life,111.71,1,2,2,5,0,0,1340.52
18,20,29728.27,113,Auto,160.19,0,0,1,5,0,0,1922.28
19,39,70445.26,39,Auto,70.38,1,1,1,5,0,0,844.56
20,70,68308.92,45,Auto,140.99,1,0,1,6,1,0,1691.88
21,19,67211.44,32,Home,136.37,2,1,0,7,0,0,1636.44
22,41,77930.1,65,Home,87.75,1,4,0,9,1,0,1053.0
23,61,91223.09,38,Auto,142.11,1,1,0,2,0,0,1705.3200000000002
24,47,51970.14,77,Renters,100.73,0,1,0,4,1,0,1208.76
25,55,73942.5,11,Auto,233.89,1,1,0,5,1,0,2806.68
26,19,30248.46,10,Life,189.09,1,0,1,6,1,0,2269.08
27,38,95331.61,112,Home,138.03,1,0,1,7,0,0,1656.3600000000001
28,50,37613.71,59,Auto,115.57,0,1,1,3,0,0,1386.84
29,29,49378.22,90,Renters,157.68,1,3,0,3,1,0,1892.16
30,39,51850.39,55,Renters,169.54,0,2,0,9,1,0,2034.48
31,61,31422.04,20,Auto,146.45,0,1,1,9,0,0,1757.3999999999999
32,42,65716.66,81,Auto,89.32,0,0,1,2,0,0,1071.84
33,66,69705.89,17,Life,125.57,0,0,2,4,0,0,1506.84
34,44,60832.9,68,Auto,138.51,1,1,2,4,1,0,1662.12
35,59,31114.55,5,Auto,148.06,0,1,1,5,0,0,1776.72
36,45,108634.5,60,Home,149.1,0,2,0,2,1,0,1789.1999999999998
37,33,77083.08,23,Renters,167.89,0,2,1,4,1,0,2014.6799999999998
38,32,122952.88,46,Renters,195.38,1,1,0,3,0,0,2344.56
39,64,47287.6,52,Life,180.57,1,2,0,6,1,0,2166.84
40,68,86073.41,10,Home,161.56,1,4,0,4,1,0,1938.72
41,61,82144.03,46,Auto,78.4,0,1,0,1,0,0,940.8000000000001
42,72,58607.35,28,Home,188.39,1,0,1,3,1,0,2260.68
43,69,96043.12,97,Renters,171.85,2,1,0,8,1,0,2062.2
44,74,56080.98,43,Auto,123.49,1,0,0,3,1,0,1481.8799999999999
45,20,57060.39,26,Auto,136.34,2,1,1,7,0,0,1636.08
46,54,20000.0,55,Auto,137.95,0,1,0,2,0,0,1655.3999999999999
47,68,73998.62,114,Home,115.3,1,1,0,5,1,0,1383.6
48,24,35838.78,48,Renters,56.34,1,1,1,7,0,0,676.08
49,38,52884.13,29,Home,84.76,1,1,1,1,0,1,1017.1200000000001
50,26,42423.17,27,Life,94.21,0,1,0,1,1,0,1130.52
51,56,56942.91,18,Auto,46.45,1,1,0,8,0,0,557.4000000000001
52,35,74765.37,104,Life,84.9,0,1,0,2,0,0,1018.8000000000001
53,21,65245.11,60,Renters,186.35,0,0,0,4,1,0,2236.2
54,42,80612.11,74,Auto,156.87,2,0,0,3,0,0,1882.44
55,31,92843.85,106,Life,91.31,0,0,0,5,0,0,1095.72
56,67,56886.49,69,Auto,104.03,0,2,0,2,1,0,1248.3600000000001
57,26,54471.52,74,Renters,190.31,1,1,2,6,1,0,2283.7200000000003
58,43,86070.01,114,Renters,189.2,0,1,1,8,0,0,2270.3999999999996
59,70,87815.04,21,Renters,138.14,0,1,0,5,1,0,1657.6799999999998
60,19,81293.0,24,Home,187.87,1,1,0,7,0,0,2254.44
61,37,44052.07,102,Auto,100.53,1,1,0,5,0,0,1206.3600000000001
62,45,74298.41,3,Home,145.23,1,1,0,6,0,0,1742.7599999999998
63,64,67408.35,104,Auto,68.65,0,0,2,9,0,0,823.8000000000001
64,24,88155.64,95,Renters,118.61,0,0,0,10,1,0,1423.32
65,61,52396.81,62,Renters,136.26,0,1,0,1,0,0,1635.12
66,25,28334.57,105,Life,59.17,1,1,1,10,0,0,710.04
67,64,80185.21,101,Auto,161.69,1,2,0,9,0,0,1940.28
68,52,20000.0,2,Renters,169.21,0,1,2,3,0,1,2030.52
69,31,48906.71,66,Life,180.5,1,2,0,10,1,0,2166.0
70,34,42489.7,103,Renters,240.04,2,4,0,3,0,1,2880.48
71,53,42341.44,113,Auto,153.75,0,0,1,4,0,0,1845.0
